timestamp,duration,session_id,source_ip,source_port,destination_ip,destination_port,protocol,num_auth_attempts
2024-04-29 22:29:41.985226,0,a0fec2bb-51f5-4fab-9589-fedeb68768b6,10.1.0.2,37569,10.0.255.2,21,ftp,1
2024-04-29 22:29:41.988020,0,0309ad0a-0294-480e-9dc6-91c402373cfd,10.1.0.2,32957,10.0.255.2,21,ftp,1
2024-04-29 22:29:41.990310,0,9b64a6dd-6143-4243-8c9b-354777bc9092,10.1.0.2,42861,10.0.255.2,21,ftp,1
2024-04-29 22:29:41.992559,0,575edee8-2cf0-47f4-a1e9-40166e6c43cb,10.1.0.2,38107,10.0.255.2,21,ftp,1
2024-04-29 22:29:41.994723,0,2446247c-af4c-42f5-aee8-c72cd9342b57,10.1.0.2,43673,10.0.255.2,21,ftp,1
2024-04-29 22:29:41.997356,0,7e88c331-e728-4291-87cc-e65ba611ab8d,10.1.0.2,35777,10.0.255.2,21,ftp,1
2024-04-29 22:29:41.999715,0,a41c53bb-77ea-4920-9d29-7cf0be0a9321,10.1.0.2,44565,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.001960,0,3aedf4e4-a1b2-4a7a-854f-65cbe7271843,10.1.0.2,37783,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.003633,0,3c4808ba-a8b9-45a8-a342-4a0af564ed6e,10.1.0.2,39017,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.006610,0,6ffa8acd-13ef-46fb-a942-eb14d40817af,10.1.0.2,42715,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.008902,0,a9fb13a9-97e7-4e17-8d04-34735cf1d4c7,10.1.0.2,46615,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.010734,0,1f4ab996-c9a1-473e-9221-75f3e0273b29,10.1.0.2,44871,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.012584,0,5063000b-e055-4bcf-b599-ed0e00a77a2b,10.1.0.2,39257,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.014424,0,fa93f32d-a43d-4c89-b5fc-cd8b4ab52d5d,10.1.0.2,42597,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.016701,0,dce57349-98f1-4601-9a08-9c9c1c74ac65,10.1.0.2,43231,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.018692,0,2e68e0f9-8a90-46c1-aa71-e001ed327906,10.1.0.2,34173,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.021196,0,29d91204-6e69-46f3-a244-d2b19bc952b8,10.1.0.2,36483,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.023368,0,45e121dc-5657-4931-b5ae-b16f1bb94022,10.1.0.2,44955,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.025382,0,ecf17f17-2a75-46d6-bcf0-ffadf32aac3c,10.1.0.2,33485,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.027314,0,c3762d01-b08b-4c08-b843-c58bc688f9dc,10.1.0.2,35379,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.029295,0,f4e7d6b4-794a-4a8f-8cdf-c9b7bb8b02d9,10.1.0.2,44053,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.031690,0,7941ea96-3c5f-4452-b584-c341ae2c3725,10.1.0.2,45029,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.034046,0,632b4542-8d46-4680-8b14-9fe3254aab75,10.1.0.2,42469,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.036418,0,c2e4ffe6-df99-4c79-965c-ae3a6993ab53,10.1.0.2,36553,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.039113,0,bc2fbc8a-4c35-4948-96df-9719a3bf214f,10.1.0.2,35339,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.041474,0,c3725a9f-d7da-4f6b-859d-0d6b24a65e01,10.1.0.2,38377,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.043441,0,99004d91-c3bc-4eb8-8d3c-c68cfcda83f8,10.1.0.2,44209,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.045469,0,2a101881-f02d-488d-9d33-59fe159c3add,10.1.0.2,43819,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.047818,0,56b385d2-e1a9-4d4d-8e62-b45e1b382fed,10.1.0.2,46323,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.049836,0,bc879f1b-465f-41eb-afbe-d0f8c699e2ba,10.1.0.2,40127,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.051921,0,474dc588-fc5f-4619-8435-3dc9544f8e71,10.1.0.2,44853,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.054496,0,45129d67-74a4-48fb-9ce7-b1a59863c822,10.1.0.2,44665,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.056711,0,fa9c8bd0-bdd7-4b41-ad3c-f3743614a20b,10.1.0.2,45153,10.0.255.2,21,ftp,1
2024-04-29 22:29:42.058289,0,0d4ee668-20cf-452c-be77-9d1af42a1573,10.1.0.2,43841,10.0.255.2,21,ftp,1
